carat,cut,color,clarity,depth,table,price,x,y,z
0.91,Very Good,F,SI2,63.0,59,3405,6.12,6.17,3.87
0.71,Good,F,IF,62.1,62,3393,5.68,5.79,3.56
0.9,Premium,G,SI2,61.3,55,3226,6.18,6.12,3.77
1.05,Good,H,SI1,59.2,60,4845,6.59,6.62,3.91
0.91,Ideal,G,SI1,62.0,56,4922,6.19,6.22,3.85
0.9,Premium,F,SI2,60.1,59,3704,6.31,6.24,3.77
0.79,Ideal,F,VVS1,61.5,55,4858,5.98,5.95,3.67
0.9,Fair,H,VS2,64.6,54,3725,6.09,6.14,3.95
1.07,Very Good,I,VS2,62.5,56,4873,6.5,6.53,4.07
0.9,Very Good,G,VS2,60.5,60,4296,6.2,6.24,3.76
0.34,Good,H,VS1,63.1,57,596,4.4,4.44,2.79
0.74,Ideal,H,VVS1,62.5,55,3287,5.76,5.79,3.61
0.73,Premium,F,VS2,59.9,58,2933,5.84,5.87,3.51
0.29,Premium,F,SI1,62.4,58,403,4.24,4.26,2.65
0.82,Premium,G,SI1,59.9,59,2893,6.09,6.06,3.64
1.01,Ideal,E,SI2,62.2,56,4875,6.45,6.42,4.0
1.2,Very Good,G,SI2,61.2,59,4712,6.78,6.84,4.17
0.71,Ideal,G,SI1,61.9,56,3007,5.73,5.76,3.55
1.06,Premium,F,SI2,62.0,59,4656,6.57,6.52,4.06
1.14,Very Good,H,SI1,59.2,58,4890,6.8,6.86,4.04
1.01,Fair,H,SI1,64.4,59,3482,6.22,6.17,3.99
0.61,Ideal,G,VVS1,61.2,56,3008,5.46,5.48,3.35
0.73,Ideal,I,VS2,60.8,56,3438,5.82,5.85,3.55
1.12,Premium,H,SI2,61.0,56,4077,6.68,6.65,4.07
1.09,Ideal,H,SI1,62.3,57,5149,6.58,6.54,4.09
0.71,Ideal,D,VS1,60.9,57,3518,5.74,5.76,3.5
1.18,Ideal,E,I1,61.6,56,4229,6.82,6.79,4.19
0.65,Ideal,D,VVS2,61.4,60,3228,5.54,5.57,3.41
1.08,Ideal,H,SI2,60.4,57,4536,6.68,6.63,4.02
1.03,Ideal,H,SI2,61.1,57,4384,6.55,6.52,3.99
0.96,Ideal,F,I1,60.7,55,2801,6.37,6.41,3.88
1.07,Good,G,SI1,63.1,59,4861,6.45,6.49,4.08
0.94,Very Good,D,SI2,60.9,62,3691,6.22,6.3,3.81
0.96,Very Good,I,VS2,59.6,59,4187,6.36,6.42,3.81
1.01,Very Good,G,SI1,63.5,60,4672,6.33,6.3,4.01
0.36,Good,H,VS2,63.5,54,568,4.55,4.59,2.9
1.01,Premium,G,I1,61.1,61,3014,6.49,6.35,3.92
1.06,Ideal,G,SI2,62.3,55,3936,6.54,6.49,4.06
1.83,Fair,J,I1,70.0,58,5083,7.34,7.28,5.12
0.32,Premium,E,SI2,59.7,60,576,4.45,4.43,2.65
0.9,Good,F,SI2,61.3,59,3621,6.12,6.15,3.76
0.9,Premium,F,SI1,62.3,58,4047,6.18,6.12,3.83
1.05,Premium,H,SI1,62.2,58,4682,6.5,6.46,4.03
0.31,Very Good,D,SI1,60.0,61,571,4.41,4.43,2.65
0.31,Very Good,I,VS2,63.1,54,558,4.34,4.31,2.73
