iter	Passed	Remaining
0	2	2533
1	4	2166
2	6	2030
3	10	2644
4	12	2485
5	14	2355
6	15	2269
7	17	2192
8	19	2168
9	21	2121
10	26	2371
11	28	2318
12	36	2761
13	38	2701
14	40	2631
15	42	2619
16	45	2638
17	57	3139
18	59	3091
19	62	3055
20	69	3244
21	72	3239
22	75	3195
23	77	3141
24	84	3284
25	85	3218
26	104	3776
27	106	3702
28	108	3635
29	110	3568
30	115	3621
31	117	3564
32	119	3504
33	121	3460
34	123	3407
35	125	3363
36	132	3445
37	134	3394
38	136	3375
39	139	3340
40	140	3297
41	151	3466
42	154	3429
43	165	3591
44	168	3566
45	172	3584
46	177	3599
47	185	3672
48	186	3628
49	189	3597
50	196	3647
51	198	3621
52	203	3632
53	205	3597
54	213	3676
55	216	3645
56	218	3612
57	220	3578
58	227	3625
59	228	3586
60	230	3554
61	233	3527
62	235	3496
63	241	3536
64	243	3503
65	245	3472
66	247	3444
67	249	3415
68	250	3386
69	257	3422
70	259	3400
71	262	3377
72	264	3353
73	273	3419
74	278	3440
75	283	3446
76	290	3479
77	292	3457
78	294	3437
79	296	3410
80	298	3384
81	309	3460
82	310	3427
83	312	3403
84	313	3379
85	319	3397
86	321	3375
87	323	3350
88	325	3329
89	326	3305
90	355	3555
91	358	3536
92	360	3512
93	369	3559
94	371	3537
95	373	3514
96	375	3491
97	377	3470
98	378	3446
99	381	3432
100	388	3460
101	390	3437
102	392	3416
103	399	3439
104	401	3422
105	447	3770
106	448	3747
107	451	3726
108	453	3704
109	455	3688
110	457	3665
111	462	3667
112	464	3646
113	466	3622
114	468	3608
115	470	3585
116	471	3561
117	478	3579
118	481	3565
119	483	3543
120	539	3922
121	541	3896
122	545	3888
123	547	3864
124	548	3840
125	550	3819
126	553	3801
127	554	3780
128	556	3757
129	558	3735
130	559	3714
131	561	3694
132	563	3673
133	565	3652
134	566	3632
135	568	3611
136	571	3599
137	625	3905
138	626	3883
139	630	3871
140	632	3851
141	633	3827
142	635	3806
143	636	3785
144	639	3769
145	641	3750
146	645	3743
147	646	3723
148	648	3703
149	650	3684
150	651	3664
151	653	3645
152	655	3626
153	656	3608
154	716	3907
155	718	3889
156	728	3909
157	731	3895
158	732	3875
159	735	3860
160	736	3837
161	741	3834
162	743	3815
163	747	3809
164	749	3791
165	751	3773
166	779	3890
167	782	3873
168	784	3857
169	794	3878
170	796	3861
171	798	3843
172	800	3828
173	802	3810
174	806	3801
175	808	3783
176	809	3765
177	812	3750
178	814	3734
179	815	3716
180	817	3700
181	821	3690
182	822	3673
183	824	3656
184	826	3639
185	830	3636
186	833	3624
187	835	3610
188	838	3596
189	840	3582
190	842	3569
191	844	3553
192	846	3537
193	850	3533
194	852	3517
195	854	3503
196	856	3492
197	858	3478
198	860	3465
199	862	3451
200	867	3447
201	869	3433
202	871	3421
203	874	3413
204	876	3400
205	880	3392
206	881	3378
207	883	3365
208	886	3353
209	889	3346
210	891	3332
211	893	3319
212	898	3317
213	899	3305
214	901	3292
215	907	3293
216	909	3280
217	910	3266
218	912	3254
219	914	3241
220	915	3228
221	917	3215
222	920	3206
223	922	3194
224	924	3182
225	925	3170
226	928	3161
227	931	3153
228	939	3162
229	941	3152
230	943	3140
231	946	3133
232	948	3121
233	952	3116
234	954	3106
235	956	3095
236	958	3085
237	960	3073
238	962	3063
239	975	3089
240	977	3078
241	979	3068
242	983	3062
243	985	3052
244	986	3041
245	989	3032
